Id Reprezentanta,Model,An,Pret,Transmisie,Nr mile,Combustibil,Taxe,Consum,Capacitate cilindrica
10, SLK,2005,5200,Automata,63000,Petrol,325,32.1,1.8
3, S Class,2017,34948,Automata,27000,Hybrid,20,61.4,2.1
11, SL CLASS,2016,49948,Automata,6200,Petrol,555,28,5.5
1, G Class,2016,61948,Automata,16000,Petrol,325,30.4,4
1, G Class,2016,73948,Automata,4000,Petrol,325,30.1,4
8, SL CLASS,2011,149948,Automata,3000,Petrol,570,21.4,6.2
7, GLE Class,2018,30948,Automata,16000,Diesel,145,47.9,2.1
5, S Class,2012,10948,Automata,107000,Petrol,265,36.7,3.5
13, G Class,2019,139948,Automata,12000,Petrol,145,21.4,4
13, GLA Class,2017,19750,Automata,15258,Diesel,30,64.2,2.1
14, A Class,2020,32980,Automata,606,Petrol,145,35.8,2
9, A Class,2020,26980,Automata,1000,Diesel,145,62.8,1.5
4, B Class,2019,23750,Automata,278,Diesel,145,55.4,2
6, GLC Class,2019,67980,Automata,5500,Petrol,145,21.7,4
14, GLA Class,2016,18980,Automata,41713,Diesel,125,56.6,2.1
8, B Class,2017,15890,Automata,24841,Diesel,150,68.9,1.5
15, C Class,2017,19890,Automata,30281,Diesel,150,60.1,2.1
4, GLE Class,2019,56800,Automata,2483,Petrol,145,29.5,3
10, B Class,2017,17513,Automata,14128,Diesel,150,68.9,2.1
13, C Class,2014,15701,Automata,20498,Diesel,20,64.2,2.1
1, C Class,2019,26601,Automata,9949,Diesel,150,64.2,2
6, C Class,2016,17672,Automata,31656,Diesel,30,64.2,2.1
1, E Class,2015,20769,Automata,21874,Diesel,165,51.4,3
4, E Class,2017,22270,Automata,13398,Diesel,165,52.3,3
1, GL Class,2015,34129,Automata,13581,Diesel,330,36.2,3
11, SL CLASS,2017,20601,Automata,16730,Diesel,150,70.6,2.1
13, CLS Class,2016,25077,Automata,13887,Diesel,165,49.6,3
2, SL CLASS,2017,21609,Automata,2780,Diesel,30,70.6,2.1
2, SL CLASS,2018,22914,Automata,8725,Petrol,145,47.9,2
1, C Class,2016,19328,Automata,25042,Diesel,30,64.2,2.1
12, C Class,2019,29546,Automata,7990,Diesel,145,54.3,2
15, GLC Class,2019,35611,Automata,26153,Diesel,145,45.6,3
5, C Class,2017,15311,Automata,31371,Diesel,20,65.7,2.1
11, A Class,2020,28128,Automata,2563,Petrol,145,47.9,1.3
5, A Class,2019,23184,Manuala,1173,Petrol,145,44.8,1.3
2, A Class,2017,15787,Automata,24092,Diesel,20,70.6,2.1
7, GLC Class,2018,30682,Automata,14517,Diesel,145,56.5,2.1
7, A Class,2019,25701,Automata,11000,Diesel,150,56.5,2
5, C Class,2020,31790,Automata,3500,Petrol,145,64.2,2
13, A Class,2019,25190,Automata,2471,Diesel,145,56.5,2
10, SLK,2014,15990,Automata,43955,Petrol,205,43.5,1.8
11, CLS Class,2018,34990,Automata,18837,Diesel,150,47.9,2.9
11, GLC Class,2019,30799,Automata,9886,Diesel,145,41.5,2.1
12, C Class,2017,19743,Automata,16509,Diesel,145,61.4,2.1
10, C Class,2019,24055,Automata,7475,Diesel,145,61.4,2
10, B Class,2019,20945,Automata,13661,Petrol,145,45.6,1.3
12, C Class,2019,28524,Automata,8263,Diesel,145,57.7,2
13, E Class,2019,24541,Automata,10279,Diesel,145,67.3,2
3, E Class,2017,20880,Automata,37000,Diesel,30,65.7,2
9, A Class,2006,2880,Automata,66000,Diesel,160,52.3,2
6, CLC Class,2010,5880,Automata,40000,Petrol,300,34,1.8
6, C Class,2015,14940,Automata,43000,Diesel,20,64.2,2.1
11, SLK,2004,4890,Automata,46000,Petrol,330,28,3.5
6, SL CLASS,2010,16990,Automata,18000,Petrol,555,29.1,3.5
7, B Class,2010,3890,Automata,71000,Petrol,240,40.9,1.5
2, B Class,2011,3990,Automata,90000,Petrol,240,40.9,1.5
12, A Class,2011,3440,Manuala,74000,Diesel,150,54.3,2
7, GLE Class,2020,48995,Automata,3000,Diesel,145,36.7,2
7, SLK,2008,5980,Automata,60000,Petrol,280,34.4,1.8
5, E Class,2015,13990,Automata,52000,Diesel,125,60.1,2.1
1, CLA Class,2016,14480,Automata,84000,Petrol,200,42.8,2
13, E Class,2010,6980,Manuala,79000,Petrol,300,35.3,1.8
6, C Class,2014,11290,Automata,48000,Diesel,145,56.5,2.1
12, E Class,2011,5740,Manuala,115000,Diesel,160,52.3,2.1
12, V Class,2017,31980,Automata,16000,Diesel,145,44.8,2.1
2, CLA Class,2014,15990,Automata,45000,Diesel,30,62.8,2.1
3, B Class,2015,11240,Automata,47000,Diesel,125,56.5,2.1
1, GLC Class,2019,37980,Automata,6200,Petrol,145,34,3
2, C Class,2019,28980,Automata,5500,Diesel,145,60.1,2
2, C Class,2019,23280,Automata,3908,Petrol,145,44.1,1.5
5, C Class,2019,32980,Automata,2000,Diesel,145,64.2,2
9, M Class,2008,5990,Automata,110000,Diesel,555,28.8,3
15, A Class,2013,7300,Automata,54000,Diesel,30,65.7,1.8
5, S Class,2014,41980,Automata,26000,Petrol,555,28,5.5
8, GL Class,2007,7340,Automata,104000,Diesel,570,28.8,3
1, GL Class,2007,8490,Automata,74000,Diesel,570,28.8,3
6, C Class,2009,4480,Automata,130000,Diesel,300,37.7,3
6, S Class,2016,24880,Automata,75000,Hybrid,190,42.4,3.5
10, E Class,2015,17480,Automata,22000,Diesel,140,53.3,3
13, E Class,2007,4880,Automata,58000,Diesel,315,37.2,3
7, S Class,2015,38980,Automata,11000,Petrol,270,33.2,4.7
1, SLK,2010,7495,Manuala,59147,Petrol,300,36.2,1.8
9, C Class,2007,3790,Automata,99000,Petrol,555,28.8,2.5
2, C Class,2007,3890,Automata,87000,Petrol,325,32.5,1.8
13, CL Class,2015,17863,Semi-Auto,14360,Diesel,20,62.8,2.1
6, GLA Class,2015,17624,Automata,29505,Diesel,125,55.4,2.1
8, A Class,2018,18220,Automata,10361,Diesel,145,68.9,1.5
2, SL CLASS,2017,18775,Automata,19522,Diesel,30,70.6,2.1
4, SL CLASS,2017,20745,Automata,23103,Diesel,30,70.6,2.1
11, A Class,2019,18118,Automata,15561,Diesel,145,68.9,1.5
15, A Class,2019,17990,Automata,14783,Diesel,145,65.7,1.5
5, SL CLASS,2019,28491,Semi-Auto,9477,Petrol,145,47.1,2
7, A Class,2018,18888,Automata,11565,Diesel,145,67.3,1.5
4, A Class,2019,19840,Automata,6781,Petrol,145,28.5,1.3
12, A Class,2019,18241,Automata,15722,Diesel,145,65.7,1.5
6, A Class,2019,18141,Automata,15689,Diesel,145,65.7,1.5
11, GLS Class,2016,37385,Automata,21169,Diesel,305,37.2,3
1, CLS Class,2017,26166,Automata,9165,Diesel,150,51.4,3
10, B Class,2019,24616,Automata,3710,Diesel,145,55.4,2
7, C Class,2019,30403,Automata,3000,Petrol,145,46.3,1.5
1, SL CLASS,2019,30670,Automata,3000,Petrol,145,47.1,2
9, C Class,2020,30960,Automata,3000,Diesel,145,64.2,2
15, A Class,2020,24107,Automata,3500,Diesel,145,62.8,1.5
4, C Class,2019,24510,Automata,11368,Diesel,145,58.9,1.6
3, GL Class,2016,35371,Automata,14253,Diesel,325,36.2,3
9, GLC Class,2019,33729,Automata,11301,Diesel,145,56.5,2.1
11, C Class,2019,29623,Automata,7500,Diesel,145,64.2,2
10, C Class,2019,27964,Automata,5617,Diesel,145,57.7,2
8, B Class,2019,21394,Automata,9573,Petrol,145,45.6,1.3
5, B Class,2019,20882,Automata,14257,Petrol,145,45.6,1.3
8, CLS Class,2019,37352,Automata,3000,Diesel,150,45.6,2
3, C Class,2018,18051,Automata,11319,Diesel,145,65.7,1.6
4, C Class,2019,24433,Automata,2326,Petrol,145,46.3,1.5
9, GLC Class,2019,37116,Automata,6250,Diesel,145,40.9,2
14, GLA Class,2019,22375,Automata,13850,Diesel,145,67.3,2.1
7, C Class,2019,24915,Automata,13101,Diesel,145,61.4,2
3, E Class,2019,29991,Automata,10356,Diesel,145,70.6,2
6, A Class,2019,22596,Automata,5382,Diesel,145,62.8,1.5
14, A Class,2019,22730,Automata,1521,Diesel,145,56.5,2
15, C Class,2019,26154,Automata,14696,Diesel,145,56.5,2
11, E Class,2020,35438,Automata,3500,Diesel,145,42.8,2
5, C Class,2019,27980,Automata,3168,Diesel,145,55.4,2
9, C Class,2019,28250,Automata,3477,Diesel,145,61.4,2
10, B Class,2019,23280,Automata,6441,Petrol,145,44.1,1.3
5, C Class,2017,15700,Automata,19023,Diesel,145,65.7,2.1
15, CLA Class,2017,18790,Automata,8423,Diesel,150,67.3,2.1
2, GLE Class,2020,54995,Automata,6700,Diesel,150,32.8,3
7, A Class,2018,20450,Automata,6511,Diesel,150,65.7,1.5
3, A Class,2014,11980,Automata,66690,Diesel,20,64.2,2.1
9, C Class,2017,19890,Automata,26878,Petrol,150,48.7,2
11, GLA Class,2018,20350,Automata,24556,Diesel,145,56.5,2.1
12, E Class,2017,22890,Automata,34934,Diesel,150,61.4,2
9, A Class,2017,18890,Automata,7875,Petrol,150,53.3,1.6
2, B Class,2017,15480,Automata,23290,Diesel,20,68.9,2.1
15, E Class,2016,16480,Automata,48889,Diesel,125,58.9,2.1
3, CLA Class,2017,20480,Automata,31949,Diesel,150,58.9,2.1
7, GLC Class,2016,25780,Automata,34358,Diesel,125,56.5,2.1
7, C Class,2017,21000,Automata,25000,Hybrid,140,134.5,2
13, GLA Class,2016,17800,Automata,34092,Diesel,125,56.6,2.1
14, B Class,2019,20700,Automata,14931,Petrol,145,45.6,1.3
9, C Class,2016,17890,Automata,44184,Petrol,125,50.4,2
6, C Class,2009,4200,Automata,96000,Diesel,235,42.2,2.1
7, E Class,2017,20998,Semi-Auto,21352,Diesel,20,72.4,2
14, GLA Class,2015,18998,Semi-Auto,33114,Diesel,125,56.5,2.1
7, C Class,2017,24998,Semi-Auto,28234,Petrol,160,43.5,2
3, CL Class,2015,17498,Manuala,15557,Petrol,125,50.4,1.6
15, C Class,2016,19498,Semi-Auto,22803,Diesel,30,61.4,2.1
10, C Class,2018,23498,Semi-Auto,17093,Diesel,145,67.3,2.1
10, E Class,2014,15998,Semi-Auto,43125,Diesel,200,45.6,3
15, S Class,2016,28498,Semi-Auto,30135,Diesel,200,47.9,3
10, CL Class,2015,16498,Manuala,25920,Petrol,125,51.4,1.6
14, GLC Class,2020,37998,Semi-Auto,5538,Diesel,150,40.9,2
6, C Class,2014,16995,Automata,37600,Diesel,30,64.2,2.1
12, A Class,2016,27995,Automata,13000,Petrol,200,40.9,2
14, S Class,2015,29995,Automata,17700,Diesel,200,48.7,3
1, GLC Class,2017,26995,Semi-Auto,37950,Diesel,145,56.5,2.1
4, C Class,2017,24995,Automata,14000,Petrol,145,47.1,2
5, GLE Class,2016,29995,Automata,27700,Diesel,200,47.9,2.1
2, A Class,2019,18995,Semi-Auto,21400,Petrol,145,53.3,1.3
10, B Class,2015,11995,Semi-Auto,41500,Diesel,20,67.3,1.5
15, G Class,2015,52995,Semi-Auto,34400,Diesel,570,25.2,3
12, E Class,2017,23995,Semi-Auto,19300,Diesel,30,65.7,2
8, E Class,2015,17698,Semi-Auto,27622,Diesel,145,54.3,3
6, CLS Class,2014,15998,Semi-Auto,31815,Diesel,145,54.3,2.1
1, E Class,2016,20298,Semi-Auto,25273,Diesel,145,54.3,3
9, C Class,2014,12998,Semi-Auto,52712,Diesel,20,64.2,2.1
11, A Class,2013,11998,Semi-Auto,54060,Diesel,30,64.2,2.1
8, C Class,2017,17998,Semi-Auto,59858,Diesel,145,64.2,2.1
12, GLA Class,2016,16998,Semi-Auto,50543,Diesel,125,56.5,2.1
5, S Class,2019,48998,Semi-Auto,375,Diesel,145,52.3,3
6, C Class,2019,28998,Manuala,22,Petrol,145,48.7,1.6
2, E Class,2019,46998,Semi-Auto,3325,Petrol,145,32.5,3
6, A Class,2017,17498,Semi-Auto,16244,Diesel,145,74.3,1.5
2, S Class,2016,26498,Semi-Auto,36121,Diesel,200,47.9,3
2, B Class,2013,8998,Semi-Auto,46108,Diesel,30,64.2,1.8
1, GLA Class,2016,19498,Semi-Auto,27846,Diesel,125,56.5,2.1
4, E Class,2017,20498,Semi-Auto,20195,Diesel,20,72.4,2
15, C Class,2018,22998,Semi-Auto,18739,Diesel,150,60.1,2.1
1, C Class,2016,12998,Manuala,53453,Diesel,20,70.6,2.1
5, C Class,2016,22998,Semi-Auto,23090,Diesel,30,65.7,2.1
6, S Class,2015,27998,Semi-Auto,14158,Diesel,200,47.9,3
7, S Class,2015,26498,Semi-Auto,27343,Diesel,200,48.7,3
10, V Class,2017,27998,Semi-Auto,58590,Diesel,235,44.8,2.2
6, E Class,2019,36998,Semi-Auto,5211,Diesel,145,70.6,2
4, GLC Class,2017,26998,Semi-Auto,9172,Diesel,145,56.5,2.1
2, E Class,2015,19498,Semi-Auto,26999,Diesel,160,51.4,3
13, C Class,2019,25498,Semi-Auto,8150,Diesel,145,60.1,1.6
5, E Class,2019,28998,Semi-Auto,26100,Diesel,145,65.7,2
7, C Class,2019,24998,Semi-Auto,9344,Diesel,145,55.4,2
12, GLA Class,2020,27998,Semi-Auto,3930,Petrol,150,35.8,1.6
5, GLC Class,2019,35998,Semi-Auto,7540,Diesel,145,40.9,2
12, GLC Class,2019,32998,Semi-Auto,12831,Diesel,145,44.8,2
11, GLE Class,2016,24998,Semi-Auto,42913,Diesel,200,47.9,2.1
8, C Class,2017,21498,Semi-Auto,20981,Diesel,30,64.2,2.1
13, E Class,2017,20998,Semi-Auto,22930,Diesel,145,72.4,2
12, S Class,2016,25498,Semi-Auto,44072,Diesel,200,47.9,3
9, B Class,2015,13498,Semi-Auto,20789,Diesel,20,67.3,1.5
4, A Class,2016,16998,Semi-Auto,29160,Diesel,20,67.3,2.1
7, SL CLASS,2019,32998,Semi-Auto,2403,Petrol,145,47.1,2
13, B Class,2019,21498,Manuala,4653,Petrol,145,45.6,1.3
12, E Class,2014,13998,Semi-Auto,33404,Diesel,125,58.9,2.1
5, C Class,2017,18998,Semi-Auto,23760,Diesel,30,64.2,2.1
13, C Class,2016,17998,Manuala,26100,Diesel,20,68.9,2.1
5, C Class,2019,28498,Semi-Auto,4285,Diesel,145,61.4,2
9, C Class,2016,18998,Semi-Auto,28388,Diesel,30,64.2,1.6
1, A Class,2019,19498,Semi-Auto,14899,Diesel,145,68.9,1.5
15, C Class,2017,20998,Semi-Auto,16902,Diesel,145,60.1,2.1
12, B Class,2019,20998,Semi-Auto,10713,Petrol,145,45.6,1.3
9, M Class,2015,21498,Semi-Auto,43339,Diesel,200,39.2,2.1
14, E Class,2017,19998,Semi-Auto,46230,Diesel,145,67.3,2
13, SL CLASS,2017,19498,Semi-Auto,29114,Diesel,30,70.6,2.1
12, E Class,2016,20498,Semi-Auto,37915,Diesel,160,51.4,3
2, SL CLASS,2017,22498,Semi-Auto,11534,Diesel,145,70.6,2.1
8, SL CLASS,2017,20998,Semi-Auto,18739,Diesel,145,70.6,2.1
5, E Class,2017,20998,Semi-Auto,27671,Diesel,145,72.4,2
3, A Class,2015,18998,Semi-Auto,23247,Petrol,200,42.8,2
14, C Class,2018,27498,Semi-Auto,9255,Diesel,145,57.7,2
10, C Class,2016,16998,Semi-Auto,26973,Diesel,30,65.7,1.6
5, E Class,2017,22998,Semi-Auto,16910,Diesel,145,65.7,2
14, S Class,2015,24498,Semi-Auto,28191,Diesel,200,47.9,3
6, C Class,2018,27498,Semi-Auto,12491,Diesel,145,65.7,2.1
5, A Class,2015,16998,Semi-Auto,39587,Petrol,200,42.8,2
13, GLA Class,2015,17998,Semi-Auto,42942,Petrol,200,42.8,2
10, GLC Class,2016,23498,Semi-Auto,46259,Diesel,125,56.5,2.1
1, A Class,2017,18298,Semi-Auto,7919,Diesel,145,68.9,2.1
8, A Class,2019,22998,Semi-Auto,3770,Petrol,150,53.3,1.3
10, C Class,2014,26998,Semi-Auto,24175,Petrol,570,23.5,6.2
10, V Class,2018,19998,Manuala,14941,Diesel,145,46.3,2.1
15, V Class,2018,19498,Manuala,21525,Diesel,145,46.3,2.1
3, C Class,2014,15998,Semi-Auto,26216,Diesel,30,64.2,2.1
7, C Class,2013,9298,Semi-Auto,80485,Diesel,145,54.3,2.1
3, CL Class,2014,17298,Semi-Auto,33274,Diesel,30,62.8,2.1
11, C Class,2018,20489,Semi-Auto,16900,Diesel,145,61.4,2.1
5, M Class,2013,15990,Automata,51800,Diesel,200,44.8,2.1
15, A Class,2013,9995,Semi-Auto,47000,Diesel,20,68.9,1.8
12, GL Class,2014,24498,Automata,67833,Diesel,325,35.3,3
1, V Class,2016,26490,Semi-Auto,32494,Diesel,200,45.6,2.2
15, A Class,2018,22990,Semi-Auto,5491,Petrol,145,45.6,2
1, A Class,2018,19995,Semi-Auto,2348,Petrol,145,53.3,1.3
1, GLA Class,2017,17850,Manuala,18692,Petrol,145,48.7,1.6
13, A Class,2016,15000,Manuala,30761,Diesel,30,62.8,2.1
15, C Class,2017,13800,Manuala,34015,Diesel,145,70.6,2.1
2, V Class,2018,20498,Manuala,22011,Diesel,145,46.3,2.1
12, C Class,2014,15498,Semi-Auto,36243,Diesel,30,64.2,2.1
12, A Class,2019,18995,Semi-Auto,3150,Diesel,145,65.7,1.5
9, C Class,2017,20995,Semi-Auto,33000,Diesel,145,58.9,2.1
1, C Class,2018,31995,Semi-Auto,11300,Petrol,150,36.2,3
2, A Class,2017,16995,Semi-Auto,25800,Diesel,150,68.9,2.1
7, CL Class,2015,17995,Automata,41100,Diesel,20,67.3,2.1
15, GLC Class,2016,28995,Semi-Auto,31600,Diesel,145,56.5,2.1
